id,item,selected_value,status,reason,adjustment_rule,references
R01,experiment_scope,framework-native recipe system benchmark,ENGINEERING_BASELINE,"데이터 split, 입력 크기, 공통 evaluator와 동일 GPU를 고정하되 optimizer와 loss는 각 framework의 native recipe를 유지한다. 따라서 실사용 후보 비교이며 architecture 자체의 통제 실험으로 해석하지 않는다.",architecture 우열을 주장하려면 유사 규모 모델과 동일 optimizer ablation을 별도로 수행한다.,"YOLOX_PAPER, YOLO11_MODEL, ULTRALYTICS_SOURCE"
R02,transfer_learning,"COCO pretrained, no user-requested backbone freeze",ENGINEERING_BASELINE,"현재 train 1,500장의 소규모 custom dataset에서 수렴 안정성과 시간을 확보하되, COCO와 전자부품 domain 차이에 대응하도록 framework가 trainable로 정의한 backbone/head weight를 학습한다. Ultralytics의 always-frozen DFL projection처럼 고정된 parameter는 manifest에 기록한다.",overfitting이 확인되면 frozen-backbone ablation을 추가한다.,"YOLOX_REPO, ULTRALYTICS_TRAIN"
R03,image_size,640 x 640 fixed,ENGINEERING_BASELINE,두 모델의 입력 조건을 같게 하고 RTX 5060 Laptop 8 GB에서 batch 8을 유지하기 위한 1차 기준이다. YOLOX/YOLO11 공식 표에도 640 결과가 있으나 소형 칩 최적 해상도라는 뜻은 아니다.,resize 후 객체 크기 분포와 AP_small을 본 뒤 960/1280 또는 tiling을 비교한다.,"YOLOX_PAPER, YOLO11_MODEL, SAHI_PAPER"
R04,batch_size,micro-batch 8,HARDWARE_DERIVED,두 모델이 현재 8 GB GPU에서 공통으로 실행 가능한 micro-batch다. YOLO11은 nbs=64로 gradient accumulation을 사용하고 YOLOX는 batch 8마다 step하므로 effective batch는 같지 않다.,resolved accumulation과 optimizer group을 매 run 기록하며 순수 optimizer 비교로 해석하지 않는다.,"ULTRALYTICS_SOURCE, YOLOX_PAPER"
R05,epochs,100,TO_TUNE,pretrained custom-data 1차 비교를 위한 동일 epoch/data-exposure budget이다. 두 모델의 FLOPs와 optimizer step 수가 달라 동일 compute budget은 아니다. YOLOX COCO scratch 논문의 300 epochs를 재현하는 값이 아니며 최적 epoch라는 보장도 없다.,"validation AP plateau, overfitting gap과 loss curve를 보고 동일 규칙으로 연장한다.","ULTRALYTICS_TRAIN, YOLOX_PAPER"
R06,seeds,"42, 43, 44",ENGINEERING_BASELINE,단일 운 좋은 run을 피하고 mean ± sample SD를 제시하기 위한 최소 반복이다.,모델 차이가 run 간 표준편차와 비슷하면 5회 이상으로 늘린다.,PYTORCH_REPRO
R07,mixed_precision,AMP enabled,UPSTREAM_SUPPORTED,메모리와 시간을 줄여 동일 GPU에서 학습하며 NaN/overflow와 실제 precision mode를 기록한다.,수치 불안정 또는 NaN 발생 시 동일 조건의 FP32 검증 run을 수행한다.,"MIXED_PRECISION_PAPER, PYTORCH_AMP"
R08,yolox_optimizer,"SGD Nesterov, nominal_lr=0.01*batch/64, momentum=0.9, wd=0.0005",PAPER_AND_PINNED_SOURCE_DERIVED_WITH_PROJECT_EPOCH_CHANGE,"YOLOX 원 논문의 SGD/momentum/weight decay와 linear LR scaling, 고정 source의 Nesterov 구현을 따른다. batch 8의 nominal/base LR은 0.00125이며 실제 warmup은 0에서 시작한다.",본 baseline 후 optimizer/LR 변경은 별도 protocol ID로 분리한다.,"YOLOX_PAPER, YOLOX_SOURCE"
R09,yolox_small_model_augmentation,"MixUp off, Mosaic scale 0.5..1.5; project no-aug final 10/100 epochs",PAPER_DERIVED_AUGMENTATION_WITH_PROJECT_NO_AUG_ADAPTATION,YOLOX 논문은 S/Tiny/Nano에서 MixUp 제거와 Mosaic scale 0.5..1.5를 보고했다. 논문의 300 epochs 중 final no-aug 15 epochs와 달리 현재 10 epochs는 100-epoch transfer baseline의 프로젝트 변경값이다.,고정 카메라 SMD 데이터가 준비되면 weak/strong augmentation ablation을 수행한다.,YOLOX_PAPER
R10,yolo11_optimizer_and_augmentation,pinned Ultralytics v8.4.120 defaults plus project optimizer=SGD override,UPSTREAM_DEFAULT_WITH_PROJECT_OVERRIDE,"upstream optimizer 기본값은 auto다. 이 프로젝트는 버전별 자동 선택을 피하도록 SGD로 override하고, 나머지 관련 기본값은 v8.4.120 source에 고정해 실제 적용값을 기록한다.",모든 변경은 resolved config와 새 protocol ID로 기록한다.,"ULTRALYTICS_DEFAULTS, ULTRALYTICS_AUGMENT"
R11,primary_accuracy_metric,COCO AP50-95,STANDARD_METRIC,IoU 0.50..0.95를 0.05 간격으로 평균해 단일 느슨한 IoU 기준보다 위치 정확도를 엄격히 본다.,"AP50, AP75, AP_small, AR100, P/R/F1, TP/FP/FN을 함께 보고한다.","COCO_PAPER, COCO_API"
R12,prediction_and_operating_thresholds,"floor=0.001, report point=0.25, match IoU=0.50, NMS IoU=0.65",ENGINEERING_BASELINE,낮은 prediction floor로 PR curve를 보존하고 두 framework에 같은 numeric threshold와 공통 evaluator를 적용한다. COCO AP/AR와 운영점 greedy matcher 모두 이미지당 score 상위 100개로 제한한다.,배포 confidence와 pseudo-label threshold는 gold validation에서 목표 P/R로 산출한 뒤 test 전에 동결한다.,"COCO_API, YOLOX_SOURCE, ULTRALYTICS_PREDICT"
